Package,Version
admisc,0.21
affxparser,1.66.0
aplpack,1.3.5
backports,1.4.1
BH,1.78.0-0
BiocGenerics,0.40.0
BiocManager,1.30.16
BiocVersion,3.14.0
Biostrings,2.60.2
bnlearn,4.7
brio,1.1.3
carData,3.0-5
ccaPP,0.3.3
cli,3.0.1
COHCAPanno,1.30.0
colorspace,2.0-2
comprehenr,0.6.10
corpcor,1.6.10
corrplot,0.92
cowplot,1.1.1
cpp11,0.4.2
crayon,1.4.2
credentials,1.3.1
curl,4.3.2
data.table,1.14.2
DBI,1.1.2
DECIPHER,2.20.0
deldir,1.0-6
dendextend,1.15.2
DEoptimR,1.0-10
deSolve,1.30
devtools,2.4.2
digest,0.6.29
DNAcopy,1.68.0
dplyr,1.0.7
dtplyr,1.1.0
DynDoc,1.72.0
entropy,1.3.1
fastICA,1.2-3
fastmatch,1.1-3
fdrtool,1.2.17
ff,4.0.5
formatR,1.11
fs,1.5.2
gamlss.data,6.0-2
gamlss.dist,6.0-1
gargle,1.2.0
generics,0.1.1
GenomeInfoDbData,1.2.7
gert,1.3.1
ggcorrplot,0.1.3
ggCustomTJ,0.2
ggplot2,3.3.5
ggpubr,0.4.0
ggsci,2.9
ggsignif,0.6.2
gh,1.3.0
git2r,0.29.0
gitcreds,0.1.1
glue,1.6.0
googledrive,2.0.0
googlesheets4,1.0.0
here,1.0.1
ids,1.0.1
ini,0.3.1
interp,1.0-33
isoband,0.2.5
jpeg,0.1-9
kmer,1.1.2
lemon,0.4.5
mathjaxr,1.4-0
mime,0.12
modelr,0.1.8
multidplyr,0.1.0.9000
mvtnorm,1.1-3
phylogram,2.1.0
pillar,1.6.2
plot.matrix,1.6
qs,0.25.1
RApiSerialize,0.1.0
rcmdcheck,1.3.3
Rcpp,1.0.7
readr,2.0.0
remotes,2.4.2
renv,0.15.0
reprex,2.0.1
robustbase,0.93-8
rstatix,0.7.0
rvest,1.0.1
selectr,0.4-2
seqinr,4.2-8
sessioninfo,1.1.1
stringfish,0.15.2
stringi,1.7.6
svglite,2.1.0
systemfonts,1.0.2
textshaping,0.3.5
tibble,3.1.3
tidyverse,1.3.1
tiff,0.1-11
tzdb,0.1.2
usethis,2.0.1
utf8,1.2.2
vngMoM,0.1.7
vroom,1.5.4
xfun,0.29
xopen,1.0.0
yulab.utils,0.0.4
