cell_id,true_frame
209,476
209,477
209,478
209,479
209,480
209,481
209,482
209,483
209,484
209,485
209,486
209,487
209,488
209,489
209,490
209,491
209,492
209,493
209,494
209,495
209,496
209,497
209,498
209,499
209,500
219,501
219,502
219,503
219,504
219,505
219,506
219,507
219,508
219,509
219,510
219,511
219,512
219,513
219,514
219,515
219,516
219,517
219,518
223,519
223,520
223,521
223,522
223,523
223,524
223,525
223,526
223,527
223,528
223,529
223,530
223,531
223,532
223,533
223,534
223,535
223,536
223,537
223,538
223,539
223,540
228,541
231,542
231,543
231,544
231,545
231,546
231,547
231,548
231,549
231,550
231,551
231,552
231,553
231,554
231,555
231,556
231,557
231,558
231,559
231,560
231,561
231,562
231,563
231,564
231,565
231,566
243,572
243,573
243,574
243,575
243,576
243,577
243,578
243,579
243,580
243,581
243,582
243,583
243,584
243,585
243,586
243,587
243,588
243,589
243,590
243,591
243,592
243,593
244,594
244,595
244,596
247,597
247,598
247,599
247,600
247,601
247,602
247,603
247,604
247,605
247,606
247,607
247,608
247,609
247,610
247,611
247,612
247,613
247,614
247,615
247,616
247,617
247,618
247,619
247,620
247,621
247,622
247,623
247,624
253,625
253,626
253,627
253,628
253,629
253,630
253,631
253,632
253,633
253,634
253,635
253,636
253,637
253,638
253,639
253,640
253,641
253,642
253,643
253,644
253,645
253,646
253,647
253,648
253,649
253,650
253,651
261,652
261,653
261,654
261,655
261,656
261,657
261,658
261,659
261,660
261,661
261,662
261,663
261,664
261,665
261,666
261,667
261,668
261,669
264,670
267,671
267,672
267,673
267,674
267,675
267,676
267,677
267,678
267,679
267,680
267,681
267,682
267,683
267,684
267,685
267,686
267,687
267,688
267,689
267,690
270,691
270,692
270,693
270,694
277,695
277,696
277,697
277,698
277,699
277,700
277,701
277,702
277,703
277,704
277,705
277,706
277,707
277,708
277,709
277,710
277,711
277,712
283,713
283,714
283,715
283,716
283,717
283,718
283,719
283,720
283,721
283,722
283,723
283,724
283,725
283,726
283,727
283,728
283,729
283,730
283,731
283,732
283,733
283,734
283,735
283,736
283,737
283,738
283,739
283,740
283,741
288,742
288,743
288,744
288,745
288,746
291,747
291,748
291,749
291,750
291,751
291,752
291,753
291,754
291,755
291,756
291,757
291,758
291,759
291,760
291,761
291,762
299,764
299,765
299,766
299,767
299,768
299,769
299,770
299,771
299,772
299,773
299,774
299,775
299,776
299,777
299,778
299,779
299,780
299,781
299,782
300,783
300,784
300,785
303,786
303,787
303,788
303,789
303,790
303,791
303,792
303,793
303,794
303,795
303,796
303,797
303,798
303,799
303,800
303,801
303,802
303,803
306,804
306,805
306,806
306,807
306,808
306,809
306,810
306,811
309,812
309,813
309,814
309,815
309,816
309,817
309,818
309,819
309,820
309,821
309,822
309,823
309,824
309,825
309,826
309,827
309,828
309,829
309,830
309,831
309,832
316,833
316,834
316,835
316,836
316,837
316,838
316,839
316,840
316,841
316,842
319,843
319,844
319,845
319,846
319,847
319,848
319,849
324,850
324,851
324,852
324,853
324,854
324,855
324,856
324,857
324,858
